geoid10,name,population,median_hh_income,households,hh_no_vehicle,poverty_universe,poverty_count,rent_universe,rent_burden_30plus,occupied_units,overcrowded_units,race_universe,nh_white,nh_black,nh_asian,hispanic,pct_no_vehicle,poverty_rate,pct_rent_burden_30plus,pct_overcrowded,pct_hispanic,pct_nh_black,pct_nh_asian,pct_nh_white
06037101110,"Census Tract 1011.10, Los Angeles County, California",4283,63534.0,1575,97,4173,577,732,439,1575,60,4283,2616,19,331,1188,0.061587301587301586,0.1382698298586149,0.5997267759562842,0.0380952380952381,0.2773756712584637,0.004436142890497315,0.07728227877655848,0.6107868316600513
06037101122,"Census Tract 1011.22, Los Angeles County, California",3405,90389.0,1312,8,3379,130,240,184,1312,40,3405,2882,74,220,147,0.006097560975609756,0.03847292098253921,0.7666666666666667,0.03048780487804878,0.04317180616740088,0.021732745961820853,0.06461086637298091,0.84640234948605
06037101210,"Census Tract 1012.10, Los Angeles County, California",6347,44083.0,2297,257,6327,1673,1896,1231,2297,278,6347,2986,198,486,2616,0.11188506747932085,0.264422317053896,0.6492616033755274,0.12102742707879843,0.41216322672128564,0.03119584055459272,0.07657160863400031,0.47045848432330234
06037101220,"Census Tract 1012.20, Los Angeles County, California",3702,43713.0,1357,117,3702,585,822,563,1357,158,3702,1812,87,341,1364,0.08621960206337509,0.1580226904376013,0.6849148418491484,0.11643330876934414,0.3684494867639114,0.023500810372771474,0.09211237169097786,0.48946515397082657
06037101300,"Census Tract 1013, Los Angeles County, California",3884,81776.0,1445,49,3839,219,190,91,1445,47,3884,3126,205,194,297,0.033910034602076124,0.057046105756707474,0.4789473684210526,0.032525951557093424,0.07646755921730175,0.052780638516992794,0.049948506694129764,0.8048403707518023
06037101400,"Census Tract 1014, Los Angeles County, California",3458,75139.0,1355,104,3448,267,416,253,1355,38,3458,2271,9,409,591,0.07675276752767528,0.07743619489559164,0.6081730769230769,0.028044280442804426,0.17090803932909196,0.0026026604973973396,0.11827646038172354,0.656737998843262
06037102103,"Census Tract 1021.03, Los Angeles County, California",1763,76833.0,692,6,1763,85,231,117,692,25,1763,1106,25,224,355,0.008670520231213872,0.04821327283040272,0.5064935064935064,0.036127167630057806,0.2013613159387408,0.014180374361883154,0.12705615428247305,0.6273397617697107
06037102104,"Census Tract 1021.04, Los Angeles County, California",3721,80789.0,1230,92,3492,424,303,132,1230,22,3721,2568,73,351,512,0.07479674796747968,0.12142038946162657,0.43564356435643564,0.01788617886178862,0.13759742004837408,0.01961838215533459,0.09432948132222521,0.6901370599301263
06037102105,"Census Tract 1021.05, Los Angeles County, California",1905,57614.0,559,3,1905,356,257,172,559,58,1905,427,14,124,1283,0.005366726296958855,0.1868766404199475,0.669260700389105,0.1037567084078712,0.673490813648294,0.007349081364829396,0.06509186351706037,0.2241469816272966
06037102107,"Census Tract 1021.07, Los Angeles County, California",4349,109375.0,1345,36,4234,428,388,199,1345,48,4349,2605,69,398,1195,0.026765799256505577,0.10108644307982995,0.5128865979381443,0.035687732342007436,0.2747758105311566,0.015865716256610714,0.0915152908714647,0.5989882731662451
06037103101,"Census Tract 1031.01, Los Angeles County, California",2428,99875.0,897,10,2428,115,128,99,897,8,2428,1793,18,164,396,0.011148272017837236,0.04736408566721582,0.7734375,0.008918617614269788,0.1630971993410214,0.007413509060955519,0.06754530477759473,0.7384678747940692
06037103102,"Census Tract 1031.02, Los Angeles County, California",4734,75276.0,1623,80,4734,272,428,257,1623,92,4734,2651,0,579,1322,0.04929143561306223,0.0574566962399662,0.6004672897196262,0.056685150955021565,0.2792564427545416,0.0,0.12230671736375158,0.559991550485847
06037103200,"Census Tract 1032, Los Angeles County, California",6349,84286.0,2226,183,6227,937,857,446,2226,109,6349,3865,105,437,1751,0.08221024258760108,0.15047374337562228,0.5204200700116686,0.048966756513926325,0.2757914632225547,0.016538037486218304,0.06882973696645141,0.6087572846117498
06037103300,"Census Tract 1033, Los Angeles County, California",3781,105909.0,1288,58,3781,206,157,92,1288,46,3781,2897,1,271,403,0.04503105590062112,0.054482941020893946,0.5859872611464968,0.03571428571428571,0.1065855593758265,0.0002644802962179318,0.0716741602750595,0.7661994181433484
06037103400,"Census Tract 1034, Los Angeles County, California",6416,89926.0,2461,90,6370,534,899,389,2461,219,6416,3472,154,1037,1573,0.03657049979683056,0.08383045525902669,0.43270300333704115,0.08898821617228769,0.24516832917705736,0.024002493765586035,0.16162718204488777,0.5411471321695761
06037104103,"Census Tract 1041.03, Los Angeles County, California",3431,97543.0,849,27,3346,179,154,129,849,50,3431,379,431,199,2401,0.03180212014134275,0.053496712492528395,0.8376623376623377,0.05889281507656066,0.6997959778490236,0.1256193529583212,0.05800058292043136,0.11046342174293208
06037104105,"Census Tract 1041.05, Los Angeles County, California",6054,54960.0,1646,164,6054,1350,777,445,1646,94,6054,345,278,685,4482,0.09963547995139732,0.22299306243805747,0.5727155727155727,0.05710814094775213,0.7403369672943508,0.0459200528576148,0.11314833168153288,0.05698711595639247
06037104108,"Census Tract 1041.08, Los Angeles County, California",6001,51875.0,1459,227,6001,943,887,573,1459,282,6001,327,430,203,4982,0.15558601782042494,0.15714047658723546,0.6459977452085682,0.19328307059629884,0.8301949675054158,0.07165472421263124,0.03382769538410265,0.054490918180303285
06037104124,"Census Tract 1041.24, Los Angeles County, California",3875,77885.0,1232,23,3643,322,284,194,1232,27,3875,1224,491,323,1728,0.018668831168831168,0.08838869063958277,0.6830985915492958,0.021915584415584416,0.44593548387096776,0.12670967741935485,0.08335483870967741,0.31587096774193546
