geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037101110,-0.426857507,0.251219512,2,No,0.748780488,79.2,4283
06037101122,0.298980347,0.664955071,3,No,0.33504492900000005,80.0,3405
06037101210,-0.591275956,0.172015404,1,Yes,0.827984596,82.5,6347
06037101220,-0.469489391,0.229268293,1,Yes,0.7707317069999999,78.5,3702
06037101300,-0.050795693,0.460462131,2,No,0.539537869,80.0,3884
06037101400,-0.229028394,0.355584082,2,No,0.644415918,81.4,3458
06037102103,0.002022741,0.490757381,2,No,0.509242619,82.9,1763
06037102104,-0.014523543,0.480744544,2,No,0.519255456,85.4,3721
06037102105,-0.252465165,0.344415918,2,No,0.6555840820000001,78.7,1905
06037102107,-0.222268359,0.360077022,2,No,0.639922978,79.6,4349
06037103101,0.207426231,0.608472401,3,No,0.391527599,80.7,2428
06037103102,-0.080207517,0.441078306,2,No,0.558921694,80.6,4734
06037103200,-0.317088276,0.308985879,2,No,0.691014121,81.5,6349
06037103300,0.19602466,0.601412067,3,No,0.39858793299999995,81.0,3781
06037103400,0.091378103,0.544544288,3,No,0.455455712,79.6,6416
06037104103,-0.235222898,0.352503209,2,No,0.647496791,83.9,3431
06037104105,-0.374388826,0.27830552,2,No,0.72169448,75.9,6054
06037104108,-0.586063314,0.174454429,1,Yes,0.825545571,81.0,6001
06037104124,-0.073723667,0.445057766,2,No,0.554942234,79.2,3875
06037104201,-0.777355907,0.096919127,1,Yes,0.903080873,84.3,4569
06037104203,-0.634932682,0.150320924,1,Yes,0.849679076,82.1,5441
06037104204,-0.628678719,0.153530167,1,Yes,0.846469833,73.6,3679
06037104310,-0.478260644,0.224390244,1,Yes,0.775609756,77.4,4962
06037104320,-0.476141867,0.22593068,1,Yes,0.77406932,79.7,5292
06037104401,-0.709425105,0.120025674,1,Yes,0.879974326,79.1,3270
06037104403,-0.643316645,0.146469833,1,Yes,0.853530167,80.5,3341
06037104404,-0.717563979,0.116944801,1,Yes,0.883055199,78.9,3084
06037104500,-0.51951077,0.202952503,1,Yes,0.797047497,81.3,3025
06037104610,-0.771501811,0.098716303,1,Yes,0.901283697,78.7,3386
06037104620,-0.676923606,0.133504493,1,Yes,0.866495507,81.2,3528
06037104701,-1.310358519,0.007060334,1,Yes,0.992939666,80.3,4402
06037104703,-0.92343565,0.059948652,1,Yes,0.940051348,77.5,2174
06037104704,-0.670551382,0.136200257,1,Yes,0.863799743,78.1,4321
06037104810,-0.544436981,0.192554557,1,Yes,0.807445443,78.7,5631
06037104821,-0.587324851,0.173684211,1,Yes,0.826315789,77.7,3551
06037104822,-0.945858986,0.053530167,1,Yes,0.946469833,81.48333333,2839
06037106010,0.161870831,0.584852375,3,No,0.415147625,79.0,3093
06037106020,-0.140703071,0.407317073,2,No,0.592682927,81.7,5420
06037106111,0.149461422,0.579589217,3,No,0.420410783,79.5,4191
06037106112,0.119893834,0.561360719,3,No,0.43863928100000005,78.2,5611
06037106113,0.08385184,0.539409499,3,No,0.460590501,80.4,3697
06037106114,-0.556168704,0.188575096,1,Yes,0.811424904,78.1,6324
