venue_id,name,zone,city,state,in_la_county,geocode_query,source,notes,latitude,longitude,coord_method,geocode_detail
V01,Los Angeles Memorial Coliseum,Exposition Park,Los Angeles,CA,yes,"Los Angeles Memorial Coliseum, Los Angeles, CA",Wikipedia venues list (2028 Olympics),Opening/athletics cluster,34.0139159,-118.2877996,nominatim,"Los Angeles Memorial Coliseum, 3911, South Figueroa Street, Historic South-Central, Los Angeles, Los Angeles County, California, 90037, United States"
V02,BMO Stadium,Exposition Park,Los Angeles,CA,yes,"BMO Stadium, Los Angeles, CA",Wikipedia venues list,Exposition Park stadium,34.012814,-118.2840892,nominatim,"BMO Stadium, South Coliseum Drive, Exposition Park, Los Angeles, Los Angeles County, California, 90037, United States"
V03,Galen Center,Exposition Park,Los Angeles,CA,yes,"Galen Center, USC, Los Angeles, CA",Wikipedia venues list,USC indoor venue,34.020753,-118.2797965,nominatim_fallback,"Galen Center, South Figueroa Street, University Park, Historic South-Central, Los Angeles, Los Angeles County, California, 90089, United States"
V04,Crypto.com Arena,DTLA,Los Angeles,CA,yes,"Crypto.com Arena, Los Angeles, CA",Wikipedia venues list,DTLA arena,34.0429979,-118.2671352,nominatim,"Crypto.com Arena, 1111, South Figueroa Street, South Park, Downtown, Los Angeles, Los Angeles County, California, 90015, United States"
V05,Los Angeles Convention Center,DTLA,Los Angeles,CA,yes,"Los Angeles Convention Center, Los Angeles, CA",Wikipedia venues list,Multiple indoor sports,34.0414677,-118.2689803,nominatim,"Los Angeles Convention Center, 1201, South Figueroa Street, South Park, Downtown, Los Angeles, Los Angeles County, California, 90074, United States"
V06,Peacock Theater,DTLA,Los Angeles,CA,yes,"Peacock Theater, Los Angeles, CA",Wikipedia venues list,Formerly Microsoft Theater,34.0445026,-118.2670716,nominatim,"Peacock Theater, 777, Chick Hearn Court, South Park, Downtown, Los Angeles, Los Angeles County, California, 90015, United States"
V07,Dodger Stadium,DTLA,Los Angeles,CA,yes,"Dodger Stadium, Los Angeles, CA",Wikipedia venues list,Baseball,34.0736255,-118.2398452,nominatim,"Dodger Stadium, 1000, Vin Scully Avenue, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States"
V08,Grand Park,DTLA,Los Angeles,CA,yes,"Grand Park, Los Angeles, CA",Wikipedia venues list,Marathon/urban course related,34.0555008,-118.2456965,nominatim,"Gloria Molina Grand Park, Civic Center, Downtown, Los Angeles, Los Angeles County, California, United States"
V09,SoFi Stadium,Inglewood,Inglewood,CA,yes,"SoFi Stadium, Inglewood, CA",Wikipedia venues list,Inglewood sports park,33.9534074,-118.3390098,nominatim,"SoFi Stadium, 1001, Champion Drive, Hollywood Park, Morningside Park, Inglewood, Los Angeles County, California, 90301, United States"
V10,Intuit Dome,Inglewood,Inglewood,CA,yes,"Intuit Dome, Inglewood, CA",Wikipedia venues list,Basketball,33.9442586,-118.3421719,nominatim,"Intuit Dome, Inglewood, Los Angeles County, California, United States"
V11,Dignity Health Sports Park,Carson,Carson,CA,yes,"Dignity Health Sports Park, Carson, CA",Wikipedia venues list,Carson sports park,33.8622861,-118.2629121,nominatim,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90746, United States"
V12,Long Beach Arena,Long Beach,Long Beach,CA,yes,"Long Beach Arena, Long Beach, CA",Wikipedia venues list,Long Beach zone,33.7640942,-118.1883741,nominatim,"Long Beach Arena, 300, East Ocean Boulevard, Long Beach, Los Angeles County, California, 90802, United States"
V13,Long Beach Convention Center,Long Beach,Long Beach,CA,yes,"Long Beach Convention Center, Long Beach, CA",Wikipedia venues list,Aquatics/climbing/shooting cluster,33.7647297,-118.1906881,nominatim,"Long Beach Convention Center, 300, East Ocean Boulevard, Long Beach, Los Angeles County, California, 90802, United States"
V14,Belmont Veterans Memorial Pier,Long Beach,Long Beach,CA,yes,"Belmont Pier, Long Beach, CA",Wikipedia venues list,Waterfront,33.7566532,-118.1485004,nominatim,"Belmont Pier, Shoreline Beach Bike Path, Belmont Shore, Long Beach, Los Angeles County, California, 90814, United States"
V15,Long Beach Marine Stadium,Long Beach,Long Beach,CA,yes,"Long Beach Marine Stadium, Long Beach, CA",Wikipedia venues list,Rowing/canoe,33.7624042,-118.121792,nominatim,"Long Beach Marine Stadium, Boathouse Lane, Marina Pacifica, Naples, Long Beach, Los Angeles County, California, 90744, United States"
V16,Alamitos Beach,Long Beach,Long Beach,CA,yes,"Alamitos Beach, Long Beach, CA",Wikipedia venues list,Beach volleyball area,33.7550395,-118.1319451,nominatim,"Alamitos Bay Beach, Belmont Shore, Long Beach, Los Angeles County, California, United States"
V17,Port of Los Angeles,San Pedro,Los Angeles,CA,yes,"Port of Los Angeles, San Pedro, CA",Wikipedia venues list,Sailing,33.7224588,-118.2736302,nominatim,"AltaSea at the Port of Los Angeles, Signal Street, Port of Los Angeles, San Pedro Arts and Cultural District, San Pedro, Los Angeles, Los Angeles County, California, 90733, United States"
V18,Sepulveda Basin Recreation Area,Valley,Los Angeles,CA,yes,"Sepulveda Basin Recreation Area, Van Nuys, CA",Wikipedia venues list,Valley sports park,34.1733026,-118.4868622,nominatim_fallback,"Sepulveda Basin Recreation Area, Los Angeles, Los Angeles County, California, United States"
V19,UCLA,Westside,Los Angeles,CA,yes,"University of California Los Angeles, Los Angeles, CA",Wikipedia venues list,Olympic Village,34.0708777,-118.4468503,nominatim,"University of California, Los Angeles, South Sepulveda Boulevard, Veterans Administration, Los Angeles County, California, 90073, United States"
V20,Riviera Country Club,Westside,Los Angeles,CA,yes,"Riviera Country Club, Pacific Palisades, CA",Wikipedia venues list,Golf,34.0451645,-118.5024932,nominatim,"Riviera Country Club, 1250, Capri Drive, Los Angeles, Los Angeles County, California, 90272, United States"
V21,Venice Beach,Westside,Los Angeles,CA,yes,"Venice Beach, Los Angeles, CA",Wikipedia venues list,Marathon start / beach events,33.9799601,-118.468771,nominatim,"Venice Beach, Venice, Los Angeles, Los Angeles County, California, United States"
V22,Rose Bowl,Pasadena,Pasadena,CA,yes,"Rose Bowl Stadium, Pasadena, CA",Wikipedia venues list,Football,34.1613492,-118.1676674,nominatim,"Rose Bowl Stadium, 1001, Rose Bowl Drive, Pasadena Council District 1, Pasadena, Los Angeles County, California, 91103, United States"
V23,Rose Bowl Aquatics Center,Pasadena,Pasadena,CA,yes,"Rose Bowl Aquatics Center, Pasadena, CA",Wikipedia venues list,Aquatics,34.1512722,-118.1643208,nominatim,"Rose Bowl Aquatics Center, 360, North Arroyo Boulevard, Pasadena Council District 1, Pasadena, Los Angeles County, California, 91103, United States"
V24,Santa Anita Park,Arcadia,Arcadia,CA,yes,"Santa Anita Park, Arcadia, CA",Wikipedia venues list,Equestrian,34.1389561,-118.0458874,nominatim,"Santa Anita Park, 285, West Huntington Drive, Arcadia, Los Angeles County, California, 91007, United States"
V25,Fairplex Cricket Ground,Pomona,Pomona,CA,yes,"Fairplex, Pomona, CA",Wikipedia venues list,Cricket (Pomona Fairgrounds),34.0870515,-117.7668542,nominatim,"Fairplex, North Pomona, Pomona, Los Angeles County, California, United States"
V26,LA Clays Shooting Sports Park,South El Monte,South El Monte,CA,yes,"Whittier Narrows, South El Monte, CA",Wikipedia venues list,Shooting (Whittier Narrows),34.0397204,-118.050973,nominatim,"Pomona Freeway, Whittier Narrows, South El Monte, Los Angeles County, California, 91733, United States"
V27,Industry Hills Mountain Bike Course,City of Industry,City of Industry,CA,yes,"Industry Hills, City of Industry, CA",Wikipedia venues list,Mountain bike,34.0242362,-117.9398311,nominatim,"Industry Hills Recreation Center, City of Industry, La Puente, Los Angeles County, California, United States"
V28,Universal Studios Lot,Universal City,Universal City,CA,yes,"Universal Studios Hollywood, Universal City, CA",Wikipedia venues list,Squash,34.1392322,-118.3543834,nominatim,"Universal Studios Hollywood, 100, Universal Plaza, Universal City, Los Angeles County, California, 91608, United States"
V29,Warner Bros Ranch,Burbank,Burbank,CA,yes,"Warner Bros Ranch, Burbank, CA",Wikipedia venues list,Baseball/softball related site,34.1583892,-118.3447642,nominatim,"Warner Bros. Ranch, 411, Burbank, Los Angeles County, California, 91505, United States"
V30,Griffith Observatory,Griffith Park,Los Angeles,CA,yes,"Griffith Observatory, Los Angeles, CA",Wikipedia venues list,Cycling-related / park cluster,34.1182187,-118.3002933,nominatim,"Griffith Observatory, 2800, East Observatory Road, Los Feliz Neighborhood Council District, Los Angeles, Los Angeles County, California, 90027, United States"
V31,Honda Center,Anaheim,Anaheim,CA,no,"Honda Center, Anaheim, CA",Wikipedia venues list,Outside LA County — distance target only,33.8078316,-117.876534,nominatim,"Honda Center, 2695, East Katella Avenue, OC Vibe, Anaheim, Orange County, California, 92806, United States"
V32,Trestles,San Clemente,San Clemente,CA,no,"Trestles Beach, San Clemente, CA",Wikipedia venues list,Surfing — outside LA County,33.3883865,-117.5945414,nominatim,"Trestles Beach Vicinity, Pange, San Clemente, San Diego County, California, United States"
V33,PayPal Park,San Jose,San Jose,CA,no,"PayPal Park, San Jose, CA",Wikipedia venues list,Football prelim — CA distance target,37.3513087,-121.924672,nominatim,"PayPal Park, 1123, Coleman Avenue, North San Jose, San Jose, Santa Clara County, California, 95110, United States"
