stop_id,stop_name,stop_lat,stop_lon,location_type,feed
bus_1,Paramount / Slauson,33.973248,-118.113113,,bus
bus_3,Jefferson / 10th,34.025471,-118.328402,,bus
bus_6,120th / Augustus F Hawkins,33.924696,-118.242222,,bus
bus_7,120th / Martin Luther King Hospital,33.924505,-118.240369,,bus
bus_12,15054 Sherman Way,34.201075,-118.461953,,bus
bus_16,Riverside / Los Feliz,34.116932,-118.271486,,bus
bus_18,1st / Eastern,34.036881,-118.173232,,bus
bus_19,Indiana / Olympic,34.018999,-118.192361,,bus
bus_25,226th / Norwalk,33.823987,-118.072255,,bus
bus_29,2nd / Santa Monica,34.015028,-118.497346,,bus
bus_31,3rd / Gardner,34.07024,-118.353264,,bus
bus_33,Balboa / Foothill West Jog,34.322084,-118.495243,,bus
bus_38,5th / Colorado,34.013884,-118.490199,,bus
bus_40,Hill / 5th,34.048591,-118.251764,,bus
bus_42,6th / Burlington,34.057874,-118.270776,,bus
bus_47,7th / Maclay,34.29398,-118.427206,,bus
bus_49,7th / Patton,33.737857,-118.305722,,bus
bus_55,Adams / Fairfax,34.032361,-118.370491,,bus
bus_56,Adams / Vermont,34.032672,-118.291204,,bus
bus_57,California Yacht Club,33.983634,-118.445893,,bus
bus_59,Admiralty / Marina City,33.985213,-118.452716,,bus
bus_60,Admiralty / Bali,33.981822,-118.441618,,bus
bus_62,Admiralty / Palawan,33.983291,-118.45741,,bus
bus_63,Agoura / La Venta,34.14895,-118.822087,,bus
bus_65,Agoura / Lost Hills,34.13941,-118.708608,,bus
bus_68,Fletcher / Estara,34.118151,-118.240922,,bus
bus_69,Lankershim / San Fernando,34.23318,-118.387941,,bus
bus_70,El Monte Busway Layover,34.05449,-118.237358,,bus
bus_73,Alameda / Arcadia,34.054387,-118.237945,,bus
bus_77,Alamo / 60th,33.983122,-118.174562,,bus
bus_78,Alamo / Gage,33.977059,-118.175513,,bus
bus_79,Alamo / Randolph,33.980041,-118.175021,,bus
bus_85,Allen / Colorado,34.14627,-118.11301,,bus
bus_86,Allen / Washington,34.169413,-118.112873,,bus
bus_87,Allesandro / Baxter,34.092443,-118.25652,,bus
bus_88,Allesandro / Ewing,34.090867,-118.258365,,bus
bus_89,Allesandro / Oak Glen,34.093765,-118.25518,,bus
bus_90,Allesandro / Sunflower,34.098924,-118.250608,,bus
bus_91,Allesandro / Whitmore,34.095807,-118.253554,,bus
bus_92,Alondra / Clark,33.889437,-118.133777,,bus
bus_93,Alondra / Stevens,33.889199,-118.130334,,bus
bus_99,Olive / Olympic,34.042134,-118.259555,,bus
bus_102,Arbor Vitae / Bellanca,33.952556,-118.380024,,bus
bus_103,Arbor Vitae / Rental Car Driveway,33.952576,-118.372467,,bus
bus_104,Arleta / Branford,34.236151,-118.419952,,bus
bus_108,Arleta / Kagel Canyon,34.245095,-118.429421,,bus
bus_109,Arleta / Montague,34.238828,-118.422788,,bus
bus_110,Arleta / Osborne,34.24181,-118.425943,,bus
bus_112,Arleta / Terra Bella,34.247767,-118.432251,,bus
bus_115,Sherman Way / Oakdale,34.200887,-118.5668,,bus
bus_117,Arlington / Martin Luther King Jr,34.011005,-118.318354,,bus
bus_118,5112 Arlington,33.996478,-118.318035,,bus
bus_126,Arlington / 39th,34.014466,-118.318116,,bus
bus_127,Arlington / 42nd,34.007395,-118.318344,,bus
bus_128,Arlington / 48th,33.999897,-118.318018,,bus
bus_136,Temple / Hill,34.056449,-118.244214,,bus
bus_138,Woodward / Garfield,34.09767,-118.128291,,bus
bus_139,Van Nuys / Arleta,34.254079,-118.438336,,bus
bus_141,Artesia / Amie,33.872706,-118.348037,,bus
bus_144,Pacific Coast Highway / Artesia,33.872521,-118.395476,,bus
bus_147,Artesia / Hawthorne,33.872703,-118.352026,,bus
bus_148,Artesia / Prairie,33.872712,-118.344048,,bus
bus_149,Artesia / Susana,33.874144,-118.206787,,bus
bus_150,Artesia / Yukon,33.87272,-118.335298,,bus
bus_152,Chatsworth Station,34.253716,-118.598806,,bus
bus_157,Atlantic / 68th,33.878061,-118.185861,,bus
bus_158,Atlantic / Bell,33.974667,-118.187296,,bus
bus_159,Lankershim / Chandler,34.168609,-118.377003,,bus
bus_160,Woodman / Moorpark,34.150638,-118.431078,,bus
bus_161,Atlantic / Martin Luther King Jr,33.921381,-118.187199,,bus
bus_162,Atlantic / Patata,33.955836,-118.183883,,bus
bus_163,Atlantic / Abbott,33.933707,-118.182576,,bus
bus_164,Atlantic / Agnes,33.914194,-118.190169,,bus
bus_165,Atlantic / Arlington,33.906704,-118.193283,,bus
bus_166,Atlantic / Beechwood,33.925698,-118.185732,,bus
bus_167,Atlantic / Carlin,33.910166,-118.191828,,bus
bus_168,Atlantic / Cecelia,33.958259,-118.184687,,bus
bus_169,Atlantic / Clara,33.965883,-118.186841,,bus
bus_170,Atlantic / Cortland,33.919017,-118.188167,,bus
bus_172,Atlantic / Artesia,33.874656,-118.185962,,bus
bus_173,Atlantic / Elizabeth,33.963502,-118.186238,,bus
bus_176,Rayo / Southern,33.946568,-118.179775,,bus
bus_177,Atlantic / Firestone,33.951502,-118.182806,,bus
bus_178,Atlantic / Florence,33.970064,-118.187849,,bus
bus_179,Atlantic / Gage,33.978273,-118.186756,,bus
bus_180,Atlantic / Imperial,33.930958,-118.183258,,bus
bus_182,Atlantic / Michigan,33.939083,-118.181964,,bus
bus_183,Atlantic / Randolph,33.981187,-118.186311,,bus
bus_184,Atlantic / Santa Ana,33.961164,-118.185653,,bus
bus_185,Atlantic / Southern,33.946506,-118.180935,,bus
bus_186,Atlantic / Southern Pl,33.948813,-118.181801,,bus
bus_187,Atlantic / Tenaya,33.936417,-118.182262,,bus
bus_188,Atlantic / Tweedy,33.941403,-118.181349,,bus
bus_189,Atlantic / Tweedy,33.941034,-118.181721,,bus
bus_190,Atlantic / 52nd,33.992441,-118.183667,,bus
bus_191,Atlantic / 55th,33.990831,-118.184834,,bus
bus_192,Atlantic / 6th,34.025125,-118.155677,,bus
bus_193,Atlantic / Bandini,33.998246,-118.174802,,bus
bus_194,Atlantic / Slauson,33.987409,-118.185368,,bus
bus_196,Van Nuys / Laurel Canyon,34.259152,-118.431406,,bus
bus_198,Van Nuys / Burbank,34.171856,-118.448904,,bus
bus_199,Van Nuys / Victory,34.186398,-118.448807,,bus
bus_200,Van Nuys / Vanowen,34.193658,-118.448823,,bus
bus_201,Avalon / 169th,33.878977,-118.264779,,bus
bus_202,Del Amo / Tajauta,33.846675,-118.24337,,bus
bus_203,Avalon / 228th,33.819107,-118.263539,,bus
bus_204,Avalon / Albertoni,33.871717,-118.265968,,bus
bus_205,Avalon / Bayport,33.815007,-118.263708,,bus
bus_206,Avalon / Carson Mall,33.843495,-118.263017,,bus
bus_207,Van Nuys / Keswick,34.209983,-118.448917,,bus
bus_208,Olympic / Mirasol,34.01869,-118.19966,,bus
bus_209,7th / Butte,33.738001,-118.306304,,bus
bus_210,Van Nuys / Woodman,34.246982,-118.448521,,bus
bus_211,Van Nuys / Arleta,34.253906,-118.43903,,bus
bus_212,Avalon / Idabell,33.810786,-118.263866,,bus
bus_213,Avalon / Martin Luther King Jr,34.01087,-118.265404,,bus
bus_214,Van Nuys / Laurel Canyon,34.258694,-118.43248,,bus
bus_215,Avalon / Vernon,34.004085,-118.265376,,bus
bus_218,Hollywood Way / Oak,34.157505,-118.341766,,bus
bus_220,Hollywood Way / Burbank,34.174859,-118.34916,,bus
bus_221,Sherman Way / Laurel Canyon,34.200759,-118.396779,,bus
bus_222,Compton / Avalon,33.895323,-118.265035,,bus
bus_224,Avalon / 189th,33.859184,-118.265961,,bus
bus_225,Del Amo / Tillman,33.846657,-118.253127,,bus
bus_226,Del Amo / Tillman,33.846867,-118.253806,,bus
bus_228,Avalon / 103rd,33.94349,-118.265309,,bus
bus_229,Avalon / 104th,33.941703,-118.265313,,bus
bus_231,Avalon / 108th,33.938035,-118.265311,,bus
bus_232,Avalon / 110th,33.935485,-118.265313,,bus
bus_234,Sherman Way / Albertsons,34.201333,-118.453193,,bus
bus_236,Avalon / 120th,33.923859,-118.265349,,bus
bus_237,Avalon / 126th,33.918652,-118.265385,,bus
bus_238,Avalon / 130th,33.914744,-118.265393,,bus
bus_239,Avalon / 132nd,33.912931,-118.26541,,bus
bus_240,Avalon / 135th,33.909306,-118.265415,,bus
bus_241,Avalon / 138th,33.906561,-118.265429,,bus
bus_243,Del Amo / Central,33.846668,-118.248194,,bus
bus_244,Del Amo / Central,33.846919,-118.248853,,bus
bus_245,Avalon / 213th,33.835649,-118.263535,,bus
bus_246,Avalon / 220th,33.827722,-118.263514,,bus
bus_247,Avalon / 223rd,33.824488,-118.26352,,bus
bus_248,Avalon / 41st,34.009334,-118.265396,,bus
bus_249,Avalon / 42nd,34.006745,-118.265387,,bus
bus_250,Avalon / 48th,33.999925,-118.265359,,bus
bus_251,Avalon / 51st,33.996724,-118.265349,,bus
bus_252,Avalon / 54th,33.993525,-118.265339,,bus
bus_253,Avalon / 56th,33.991717,-118.26534,,bus
bus_254,Avalon / 59th,33.986254,-118.265355,,bus
bus_255,Avalon / 61st,33.984064,-118.265332,,bus
bus_256,Avalon / 67th,33.97897,-118.265319,,bus
bus_258,Avalon / 76th,33.971182,-118.265308,,bus
bus_259,Avalon / 79th,33.967586,-118.26529,,bus
bus_260,Avalon / 83rd,33.963903,-118.265278,,bus
bus_261,Avalon / 87th,33.958196,-118.265273,,bus
bus_262,Avalon / 88th,33.956286,-118.265277,,bus
bus_264,Avalon / 92nd,33.953044,-118.265286,,bus
bus_265,Avalon / 94th,33.950923,-118.265296,,bus
bus_267,Hill / 3rd,34.05182,-118.24911,,bus
bus_268,Avalon / Alondra,33.885824,-118.265143,,bus
bus_269,Avalon / San Pedro,33.888027,-118.265166,,bus
bus_270,Avalon / Carson,33.831945,-118.263527,,bus
bus_271,7th / Grand,33.737793,-118.290293,,bus
bus_272,Avalon / Century,33.945779,-118.26531,,bus
bus_273,Avalon / Colden,33.949384,-118.265301,,bus
bus_274,Avalon / Compton,33.895023,-118.265129,,bus
bus_275,Avalon / Del Amo,33.847817,-118.264634,,bus
bus_276,Van Nuys / Nordhoff,34.235696,-118.450091,,bus
bus_277,Avalon / El Segundo,33.916223,-118.265087,,bus
bus_278,Hill / 6th,34.047555,-118.253101,,bus
bus_279,Avalon / El Segundo,33.916566,-118.265392,,bus
bus_280,Avalon / Florence,33.974911,-118.265319,,bus
bus_281,Avalon / Gage,33.982196,-118.265323,,bus
bus_282,Avalon / Gardena,33.882179,-118.264407,,bus
bus_283,Avalon / Imperial,33.930867,-118.265002,,bus
bus_284,Avalon / Imperial,33.931223,-118.265313,,bus
bus_285,Avalon / Manchester,33.960307,-118.265263,,bus
bus_286,Avalon / Redondo Beach,33.893045,-118.265146,,bus
bus_287,Avalon / Rosecrans,33.902318,-118.265413,,bus
bus_288,Avalon / Sepulveda,33.808557,-118.263954,,bus
bus_289,Avalon / Slauson,33.988683,-118.265376,,bus
bus_291,Avalon / Elsmere,33.853627,-118.265387,,bus
bus_292,Avalon Station,33.92759,-118.265331,,bus
bus_293,Avalon / Realty,33.806057,-118.263884,,bus
bus_295,Avalon / Scottsdale,33.812523,-118.263802,,bus
bus_297,Avalon / Q,33.795245,-118.263478,,bus
bus_298,Avalon / Walnut,33.87611,-118.265234,,bus
bus_300,Ave 26 / Lacy,34.081798,-118.220131,,bus
bus_301,Avenue San Luis / Dunman,34.162298,-118.628553,,bus
bus_303,Avenue San Luis / Valley Circle,34.158817,-118.636354,,bus
bus_304,East LA College,34.039787,-118.149221,,bus
bus_306,Avenida Cesar Chavez / Schoolside,34.040063,-118.150602,,bus
bus_307,Avenida Cesar Chavez / Vancouver,34.040506,-118.156385,,bus
bus_308,Avenida Cesar Chavez / Westcott,34.040529,-118.153537,,bus
bus_309,East LA College,34.039619,-118.149488,,bus
bus_312,Imperial / Aviation,33.930793,-118.378211,,bus
bus_313,Aviation / 104th,33.941861,-118.378333,,bus
bus_314,Aviation / 111th,33.934161,-118.378325,,bus
bus_317,Avalon / 111th,33.934075,-118.265309,,bus
bus_320,Balboa / Citronia,34.246496,-118.502283,,bus
bus_321,Balboa / Roscoe,34.221484,-118.502513,,bus
bus_322,Balboa / Soccer Fields,34.178452,-118.501007,,bus
bus_323,Balboa / Tupper,34.239659,-118.502347,,bus
bus_324,Balboa / San Fernando Mission,34.271849,-118.502048,,bus
bus_325,Burbank / Laurel Canyon,34.172044,-118.396696,,bus
bus_326,Balboa / Burbank,34.172517,-118.500955,,bus
bus_327,Balboa / Chatsworth,34.265045,-118.502113,,bus
bus_328,Balboa / Devonshire,34.257799,-118.502182,,bus
bus_329,Balboa / Hart,34.197817,-118.500971,,bus
bus_330,Balboa / Haynes,34.189609,-118.500965,,bus
bus_331,Balboa / Haynes,34.189058,-118.501269,,bus
bus_332,Balboa / Index,34.275795,-118.502016,,bus
bus_333,Balboa / Lassen,34.250096,-118.502258,,bus
bus_334,Balboa / Lorillard,34.283954,-118.501939,,bus
bus_336,Balboa / Mayall,34.254152,-118.502223,,bus
bus_337,Balboa / Midwood,34.287433,-118.501907,,bus
