geoid10,walk_min_venue,walk_min_rail,walk_min_28x28,euclid_km_venue,euclid_km_rail,network_method_walk,walk_speed_kmh,detour_factor,venues_within_15min_walk,rail_within_15min_walk,projects_within_15min_walk,venues_within_30min_walk,rail_within_30min_walk,projects_within_30min_walk,venues_within_45min_walk,rail_within_45min_walk,projects_within_45min_walk,transit_min_to_venue_via_rail,rail_invehicle_min_to_venue_stop,within_30min_transit_venue,within_45min_transit_venue,scenario_S0_access,scenario_S1_delta,scenario_S2_delta,scenario_S3_delta,scenario_S1_access,scenario_S2_access,scenario_S3_access
06037920336,431.90846167031947,507.7055837437211,73.44493721695333,23.994914537239968,28.20586576354006,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,0,0,507.7055837437211,0.0,False,False,0.025589899134850068,0.12805839609830824,0.12805839609830824,0.0,0.15364829523315832,0.15364829523315832,0.025589899134850068
06037920044,541.2251690343735,594.4754670873677,64.2703964352708,30.068064946354077,33.026414838187094,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,0,0,594.4754670873677,0.0,False,False,0.021936723068347368,0.14987632474636675,0.14987632474636675,0.0,0.17181304781471413,0.17181304781471413,0.021936723068347368
06037573003,62.262067119560605,23.380490868932664,50.954091567314116,3.459003728864478,1.298916159385148,detour_factor_1.35,4.5,1.35,0,0,0,0,3,0,0,10,0,62.262067119560605,,False,False,0.3631692863123312,0.0,0.0,0.0,0.3631692863123312,0.3631692863123312,0.3631692863123312
06037571704,130.50363644245184,41.40948941845957,157.14381332293655,7.250202024580657,2.3005271899144204,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,3,0,130.50363644245184,,False,False,0.24356313144076314,0.0,0.0,0.0,0.24356313144076314,0.24356313144076314,0.24356313144076314
06037570403,102.19209201389013,30.187294514705478,138.540393262779,5.677338445216118,1.6770719174836377,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,3,0,102.19209201389013,,False,False,0.30636812915221256,0.0,0.0,0.0,0.30636812915221256,0.30636812915221256,0.30636812915221256
06037553503,207.97465466599905,21.616672963506197,95.81805415115646,11.55414748144439,1.2009262757503443,detour_factor_1.35,4.5,1.35,0,0,0,0,4,0,0,4,0,207.97465466599905,,False,False,0.3814973084722747,0.0,0.0,0.0,0.3814973084722747,0.3814973084722747,0.3814973084722747
06037552302,265.4114567376954,78.14390556827507,14.345936629777329,14.745080929871964,4.341328087126393,detour_factor_1.35,4.5,1.35,0,0,1,0,0,1,0,0,1,78.14390556827507,0.0,False,False,0.1457557474780636,0.3359525255762197,0.3359525255762197,0.3359525255762197,0.4817082730542833,0.4817082730542833,0.4817082730542833
06037503104,236.22144978400485,102.80565358792381,42.67255563282233,13.123413876889156,5.7114251993291,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,0,1,102.80565358792381,0.0,False,False,0.11480497365086716,0.12326522895569557,0.12326522895569557,0.12326522895569557,0.23807020260656273,0.23807020260656273,0.23807020260656273
06037550602,206.49526402895185,88.43319485622669,63.974627788090274,11.471959112719547,4.912955269790372,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,0,0,206.49526402895185,,False,False,0.131018848441969,0.04145153028644366,0.04145153028644366,0.0,0.17247037872841267,0.17247037872841267,0.131018848441969
06037550601,190.19063987951185,97.78950851309979,69.7432089743752,10.56614665997288,5.432750472949988,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,0,0,190.19063987951185,,False,False,0.1199873321432817,0.04050723061726014,0.04050723061726014,0.0,0.16049456276054183,0.16049456276054183,0.1199873321432817
06037550202,241.89343188176332,30.47476159308803,23.02891729076269,13.438523993431296,1.6930423107271126,detour_factor_1.35,4.5,1.35,0,0,0,0,0,1,0,4,1,30.47476159308803,0.0,False,True,0.3043577529615831,0.06232288711127831,0.06232288711127831,0.0,0.3666806400728614,0.3666806400728614,0.3043577529615831
06037550201,230.50797073940154,42.574456030929355,26.135499639458438,12.805998374411198,2.3652475572738525,detour_factor_1.35,4.5,1.35,0,0,0,0,0,1,0,4,1,42.574456030929355,0.0,False,True,0.2384879367427869,0.09933135835835782,0.09933135835835782,0.0,0.3378192951011447,0.3378192951011447,0.2384879367427869
06037544002,100.92095300478961,39.114948976440296,124.28801325668266,5.6067196113772,2.1730527209133497,detour_factor_1.35,4.5,1.35,0,0,0,0,0,0,0,7,0,100.92095300478961,,False,False,0.2542186845049203,0.0,0.0,0.0,0.2542186845049203,0.2542186845049203,0.2542186845049203
06037544001,92.03996480779648,18.950234210948253,133.72406779602673,5.113331378210915,1.0527907894971251,detour_factor_1.35,4.5,1.35,0,0,0,0,3,0,0,3,0,92.03996480779648,,False,False,0.4130068126778348,0.0,0.0,0.0,0.4130068126778348,0.4130068126778348,0.4130068126778348
