geoid10,tractce10,aland10,awater10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle,dist_venue_km,dist_28x28_km,dist_stop_km,venue_access,a_base,a_plan,access_change,ces_disadvantage_decile,hpi_disadvantage_decile,venue_within_3km,project_within_3km,project_closer_than_stop
06037920336,920336,1656848,967,37.7945041951289,71.7473524962179,8.0,69.3590541381456,65.9480584972264,6881.0,-0.549522331,0.19114249,1.0,Yes,0.80885751,82.4,6881.0,"Census Tract 9203.36, Los Angeles County, California",6881.0,56912.0,1644.0,86.0,0.0523114355231143,23.994914537239968,4.080274289830741,28.20586576354006,0.04000813839591642,0.034239697192896684,0.1968397655224472,0.1626000683295505,5,8,False,False,True
06037920044,920044,972475,27696,12.0563995899866,18.1164901664145,2.0,20.3858120721842,20.6127080181543,2399.0,0.464222603,0.769319641,4.0,No,0.2306803589999999,83.6,2399.0,"Census Tract 9200.44, Los Angeles County, California",2399.0,98472.0,832.0,32.0,0.0384615384615384,30.068064946354077,3.570577579737266,33.026414838187094,0.03218739247927807,0.029388932238541984,0.21879072886396203,0.18940179662542006,1,2,False,False,True
06037573003,573003,401153,46959,41.2685285708294,77.029752899647,8.0,84.6421904169259,62.4936964195663,1843.0,-0.250954889,0.344801027,2.0,No,0.6551989730000001,75.1,1843.0,"Census Tract 5730.03, Los Angeles County, California",1843.0,69038.0,622.0,56.0,0.090032154340836,3.459003728864478,2.830782864850784,1.298916159385148,0.2242653428447924,0.4349875900943917,0.4349875900943917,0.0,6,6,False,True,False
06037571704,571704,481586,0,45.0791332265187,82.0978315683308,9.0,55.8929682638457,92.2339889056984,4076.0,-0.827140759,0.081899872,1.0,Yes,0.918100128,76.5,4076.0,"Census Tract 5717.04, Los Angeles County, California",4076.0,50438.0,1235.0,62.0,0.0502024291497975,7.129777807369202,8.730211851274252,2.3005271899144204,0.12300459172371898,0.3029819003023966,0.3029819003023966,0.0,7,9,False,False,False
06037570403,570403,570677,0,74.3686763105795,99.5965708522441,10.0,97.2246421904169,97.8946041351488,4832.0,-0.824802295,0.08254172,1.0,Yes,0.91745828,78.46666667,4832.0,"Census Tract 5704.03, Los Angeles County, California",4832.0,48676.0,1124.0,83.0,0.0738434163701067,5.45153401327083,7.696688514598832,1.6770719174836377,0.15500189535434458,0.3735424489230637,0.3735424489230637,0.0,10,9,False,False,False
06037553503,553503,423255,0,35.7512638716311,68.7720625315179,7.0,65.849408836341,63.2123045890065,2906.0,-0.494515672,0.216944801,1.0,Yes,0.783055199,78.6,2906.0,"Census Tract 5535.03, Los Angeles County, California",2906.0,53615.0,751.0,47.0,0.0625832223701731,11.300947986451071,5.323225230619803,1.2009262757503443,0.08129454746914254,0.4543541558015513,0.4543541558015513,0.0,5,7,False,False,False
06037552302,552302,960532,0,43.5293977337965,80.1563287947554,9.0,92.6073428749222,59.5436207766011,4107.0,0.099638152,0.549293967,3.0,No,0.450706033,79.2,4107.0,"Census Tract 5523.02, Los Angeles County, California",4107.0,66278.0,1243.0,57.0,0.0458567980691874,14.745080929871964,0.7969964794320739,4.341328087126393,0.06351189965005355,0.18721935512821022,0.5564841174959018,0.36926476236769157,7,4,False,True,True
06037503104,503104,541380,5383,47.1321391881623,84.5940494200706,9.0,77.3366521468575,80.8623298033283,2542.0,-0.469353785,0.229396662,1.0,Yes,0.770603338,87.4,2542.0,"Census Tract 5031.04, Los Angeles County, California",2542.0,62974.0,625.0,11.0,0.0176,13.123413876889156,2.3706975351567956,5.7114251993291,0.07080441093894088,0.1489996491505208,0.29667449825143766,0.14767484910091686,7,7,False,True,True
06037550602,550602,1476978,0,28.0283296852882,55.0428643469491,6.0,65.7373988799004,44.2763489662128,4328.0,0.178869403,0.592041078,3.0,No,0.4079589219999999,81.3,4328.0,"Census Tract 5506.02, Los Angeles County, California",4328.0,87500.0,1216.0,20.0,0.0164473684210526,11.471959112719547,3.5541459882272375,4.912955269790372,0.08017986516490007,0.16912016992738935,0.21958013699715928,0.050459967069769934,4,3,False,False,True
06037550601,550601,1172076,0,36.7394470954922,70.1714573877963,8.0,96.6521468574985,40.8598083711548,5960.0,-0.292579737,0.323491656,2.0,No,0.6765083439999999,82.7,5960.0,"Census Tract 5506.01, Los Angeles County, California",5960.0,77292.0,1721.0,71.0,0.041255084253341,10.56614665997288,3.8746227207986212,5.432750472949988,0.08645921838953621,0.1554544986946169,0.20514408135285753,0.04968958265824064,5,6,False,False,True
