ces_disadvantage_decile,count,mean,median,std
1,229,0.02781773113729779,0.0,0.049674448005606116
2,230,0.04129003123517379,0.0,0.08197248466387476
3,230,0.036152066208046396,0.0,0.07977938423123744
4,229,0.02623840102078484,0.0,0.06508263973909469
5,230,0.029444733297604893,0.0,0.058426923586907493
6,230,0.025958093163186195,0.0,0.06717252932546106
7,229,0.029471416441702904,0.0,0.06411719176631295
8,230,0.04055764815529461,0.0,0.08371635752532586
9,230,0.031418338261861446,0.0,0.07487299552357024
10,230,0.034526095416516,0.0,0.0924415795915485
