ces_disadvantage_decile,pct_venue_3km,pct_project_3km,pct_project_improves,mean_access_change,mean_venue_access
1,0.1572052401746725,0.06550218340611354,0.45414847161572053,0.02781773113729779,0.14745535890129388
2,0.19130434782608696,0.15217391304347827,0.4,0.04129003123517379,0.16373172782174944
3,0.12608695652173912,0.15217391304347827,0.41304347826086957,0.036152066208046396,0.15785800450251045
4,0.13537117903930132,0.17903930131004367,0.40611353711790393,0.02623840102078484,0.15188663741241193
5,0.17391304347826086,0.1956521739130435,0.41739130434782606,0.029444733297604893,0.17314449968867554
6,0.1782608695652174,0.25217391304347825,0.3695652173913043,0.025958093163186195,0.1782443989800791
7,0.22270742358078602,0.3231441048034934,0.34497816593886466,0.029471416441702904,0.19096406647835054
8,0.23043478260869565,0.3391304347826087,0.3782608695652174,0.04055764815529461,0.2005673126744092
9,0.26956521739130435,0.3695652173913043,0.3,0.031418338261861446,0.20725843073687084
10,0.20434782608695654,0.3,0.20869565217391303,0.034526095416516,0.187830768632362
